route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
2260-2656,A,3772,Jessheim stasjon/Vilberg skole,,3,,FFFFFF,000000
2260-2657,A,3773,Ask/Eidsvoll vgs.,,3,,FFFFFF,000000
2260-2658,A,3778,Stubberud/Vilberg skole,,3,,FFFFFF,000000
2260-2659,A,3779,Skimten/Vilberg skole,,3,,FFFFFF,000000
2260-2660,A,3780,Eidsvoll stasjon/Vormsund,,3,,FFFFFF,000000
2260-2661,A,3781,Langset skole/Eidsvoll stasjon,,3,,FFFFFF,000000
2260-2662,A,3783,Langset skole/Eidsvoll stasjon,,3,,FFFFFF,000000
2260-2663,A,3831,Fagerli sykehjem/Preståsen skole pl.,,3,,FFFFFF,000000
2260-2664,A,3832,Åmål/Nannestad vgs.,,3,,FFFFFF,000000
2260-2665,A,3833,Ask/Preståsen skole pl.,,3,,FFFFFF,000000
2260-2666,A,3834,Åmål/Nannestad vgs.,,3,,FFFFFF,000000
2260-2667,A,3835,Preståsen skole/Nannestad torg,,3,,FFFFFF,000000
2260-2668,A,3836,Kringlerdalen/Kringler Slattum skpl,,3,,FFFFFF,000000
2260-2669,A,3837,Eltonåsen skole/Fagerli sykehjem,,3,,FFFFFF,000000
2260-2670,A,3838,Nannestad torg/Nannestad torg,,3,,FFFFFF,000000
2260-2671,A,3839,Maura skole/Sandnesseter,,3,,FFFFFF,000000
2260-2672,A,3872,Eidsvoll stasjon/Nannestad vgs.,,3,,FFFFFF,000000
2260-2673,A,3873,Sætreringen/Nannestad vgs.,,3,,FFFFFF,000000
2260-2674,A,3874,Olavsgaard/Nannestad vgs.,,3,,FFFFFF,000000
2260-2675,A,3875,Vassenden/Nannestad vgs.,,3,,FFFFFF,000000
2260-2676,A,3876,Eltonåsen/Nannestad,,3,,FFFFFF,000000
2260-2677,A,3877,Eltonåsen/Nannestad via-Åsvegen,,3,,FFFFFF,000000
2260-2678,A,3935,Rustad snuplass/Hurdal torg,,3,,FFFFFF,000000
2260-2679,A,3936,Vassenden/Oslo lufthavn-ankomst,,3,,FFFFFF,000000
2362-301,A,301,Åneby/Oslo Bussterminal,,3,,FFFFFF,000000
2362-302,A,302,Kongskog/Oslo Bussterminal,,3,,FFFFFF,000000
2362-309,A,309,Hellerudhaugen/Jernbanetorget,,3,,FFFFFF,000000
2362-321,A,321,Lillestrøm terminal/Oslo Bussterminal,,3,,FFFFFF,000000
2362-339,A,339,Dokkveien/Eltonåsen,,3,,FFFFFF,000000
2362-345,A,345,Vardefjellet/Blindern,,3,,FFFFFF,000000
2362-352,A,352,Kløfta stasjon/Helsfyr T,,3,,FFFFFF,000000
2362-361,A,361,Gullhaug-Tømte/Grorud T,,3,,FFFFFF,000000
2362-363,A,363,Gullhaug-Tømte/Blindern,,3,,FFFFFF,000000
2362-401,A,401,Fritidshuset/Oslo Bussterminal,,3,,FFFFFF,000000
2362-409,A,409,Lillestrøm terminal/Olavsgaard,,3,,FFFFFF,000000
2362-411,A,411,Lillestrøm terminal/Oslo Bussterminal,,3,,FFFFFF,000000
2362-412,A,412,Vallerudtoppen/Oslo Bussterminal,,3,,FFFFFF,000000
2362-415,A,415,Nesåsen/Oslo Bussterminal,,3,,FFFFFF,000000
2362-417,A,417,Akershus sykehus/Oslo Bussterminal,,3,,FFFFFF,000000
2362-418,A,418,Blystadlia/Oslo Bussterminal,,3,,FFFFFF,000000
2362-419,A,419,Lillestrøm terminal/Tollboden,,3,,FFFFFF,000000
2362-421,A,421,Strømmen stasjon/Oslo Bussterminal,,3,,FFFFFF,000000
2362-422,A,422,Nittedal kirke/Oslo Bussterminal,,3,,FFFFFF,000000
2362-423,A,423,Olavsgaard/Helsfyr,,3,,FFFFFF,000000
2362-431,A,431,Brøterkrysset/Oslo Bussterminal,,3,,FFFFFF,000000
2362-435,A,435,Lillestrøm terminal/Blindern,,3,,FFFFFF,000000
2362-476,A,476,Verpet/Oslo Bussterminal,,3,,FFFFFF,000000
2362-482,A,482,Eidslia/Oslo Bussterminal,,3,,FFFFFF,000000
2362-486,A,486,Bjørkelangen/Oslo Bussterminal,,3,,FFFFFF,000000
2362-492,A,492,Fjerdingby/Oslo Bussterminal,,3,,FFFFFF,000000
2362-499,A,499,Lillestrøm terminal/Tollboden,,3,,FFFFFF,000000
2362-801,A,801,Nittedal stasjon/Skillebekk,,3,,FFFFFF,000000
2362-802,A,802,Slattum/Skillebekk,,3,,FFFFFF,000000
2362-803,A,803,Nittedal stasjon/Dam,,3,,FFFFFF,000000
2362-841,A,841,Furukollen/Lillestrøm,,3,,FFFFFF,000000
2362-842,A,842,Skedsmokorset/Lillestrøm,,3,,FFFFFF,000000
2362-843,A,843,Branderud/Lillestrøm,,3,,FFFFFF,000000
2362-845,A,845,Vardefjellet/Lillestrøm,,3,,FFFFFF,000000
2362-846,A,846,Orredalen/Sørumsand stasjon,,3,,FFFFFF,000000
2362-872,A,872,Lillestrøm terminal/Vallerudtoppen,,3,,FFFFFF,000000
2362-875,A,875,Verpet/Lillestrøm,,3,,FFFFFF,000000
2362-881,A,881,Eidslia/Lillestrøm,,3,,FFFFFF,000000
2362-883,A,883,Bjørkelangen/Lillestrøm,,3,,FFFFFF,000000
2362-884,A,884,Sørumsand stasjon/Sørumsand stasjon,,3,,FFFFFF,000000
2362-885,A,885,Hemnes garasje/Løken,,3,,FFFFFF,000000
2362-2701,A,2131,Finstadbru/Aursmoen us.,,3,,FFFFFF,000000
2362-2702,A,2132,Aursmoen u. skole/Haneborg skole,,3,,FFFFFF,000000
2362-2703,A,2133,Aursmoen u. skole/Korsmo,,3,,FFFFFF,000000
2362-2704,A,2134,Ulviken/Haneborg skole,,3,,FFFFFF,000000
