service_id,date,exception_type
1,20161028,1
1,20161029,2
1,20161030,2
1,20161031,1
1,20161101,1
1,20161102,1
1,20161103,1
1,20161104,1
1,20161105,2
1,20161106,2
1,20161107,1
1,20161108,1
1,20161109,1
1,20161110,1
1,20161111,1
1,20161112,2
1,20161113,2
1,20161114,2
1,20161115,2
1,20161116,2
1,20161117,2
1,20161118,2
1,20161119,2
1,20161120,2
1,20161121,2
1,20161122,2
1,20161123,2
1,20161124,2
1,20161125,2
1,20161126,2
1,20161127,2
1,20161128,2
1,20161129,2
1,20161130,2
1,20161201,2
1,20161202,2
1,20161203,2
1,20161204,2
1,20161205,2
1,20161206,2
1,20161207,2
1,20161208,2
1,20161209,2
1,20161210,2
1,20161211,2
1,20161212,2
1,20161213,2
1,20161214,2
1,20161215,2
1,20161216,2
1,20161217,2
1,20161218,2
1,20161219,2
1,20161220,2
1,20161221,2
1,20161222,2
1,20161223,2
2,20161028,2
2,20161029,2
2,20161030,2
2,20161031,2
2,20161101,2
2,20161102,2
2,20161103,2
2,20161104,2
2,20161105,2
2,20161106,2
2,20161107,2
2,20161108,2
2,20161109,2
2,20161110,2
2,20161111,2
2,20161112,2
2,20161113,2
2,20161114,1
2,20161115,1
2,20161116,1
2,20161117,1
2,20161118,1
2,20161119,2
2,20161120,2
2,20161121,1
2,20161122,1
2,20161123,1
2,20161124,1
2,20161125,1
2,20161126,2
2,20161127,2
2,20161128,1
2,20161129,1
2,20161130,1
2,20161201,1
2,20161202,1
2,20161203,2
2,20161204,2
2,20161205,1
2,20161206,1
2,20161207,1
2,20161208,1
2,20161209,1
2,20161210,2
2,20161211,2
2,20161212,1
2,20161213,1
2,20161214,1
2,20161215,1
2,20161216,1
2,20161217,2
2,20161218,2
2,20161219,2
2,20161220,2
2,20161221,2
2,20161222,2
2,20161223,2
3,20161028,1
3,20161029,2
3,20161030,2
3,20161031,2
3,20161101,2
3,20161102,2
3,20161103,2
3,20161104,1
3,20161105,2
3,20161106,2
3,20161107,2
3,20161108,2
3,20161109,2
3,20161110,2
3,20161111,1
3,20161112,2
3,20161113,2
3,20161114,2
3,20161115,2
3,20161116,2
3,20161117,2
3,20161118,1
3,20161119,2
3,20161120,2
3,20161121,2
3,20161122,2
3,20161123,2
3,20161124,2
3,20161125,1
3,20161126,2
3,20161127,2
3,20161128,2
3,20161129,2
3,20161130,2
3,20161201,2
3,20161202,1
3,20161203,2
3,20161204,2
3,20161205,2
3,20161206,2
3,20161207,2
3,20161208,2
3,20161209,1
3,20161210,2
3,20161211,2
3,20161212,2
3,20161213,2
3,20161214,2
3,20161215,2
3,20161216,1
3,20161217,2
3,20161218,2
3,20161219,2
3,20161220,2
3,20161221,2
3,20161222,2
3,20161223,2
4,20161028,2
4,20161029,1
4,20161030,2
4,20161031,2
4,20161101,2
4,20161102,2
4,20161103,2
4,20161104,2
4,20161105,1
4,20161106,2
4,20161107,2
4,20161108,2
4,20161109,2
4,20161110,2
4,20161111,2
4,20161112,1
4,20161113,2
4,20161114,2
4,20161115,2
4,20161116,2
4,20161117,2
4,20161118,2
4,20161119,1
4,20161120,2
4,20161121,2
4,20161122,2
4,20161123,2
4,20161124,2
4,20161125,2
